siniestro_id,antiguedad_vehiculo,valor_vehiculo,severidad,tipo_siniestro,piezas_afectadas,requiere_grua,combustible,costo_reparacion
116,5,101578,Media,Choque_Multiple,2,1,Gasolina,11757.2
117,4,57239,Grave,Colision,6,1,Gasolina,17230.24
118,15,114475,Leve,Colision,2,0,Diesel,9353.03
119,7,64743,Media,Robo_Parcial,6,0,Hibrido,12301.2
120,14,160307,Media,Colision,6,1,Hibrido,15661.48
121,2,47224,Leve,Colision,3,0,Gasolina,4286.76
122,4,175616,Leve,Robo_Parcial,2,0,Gasolina,7109.61
123,12,170125,Grave,Choque_Multiple,8,1,Hibrido,24233.28
124,16,63498,Media,Colision,6,0,Diesel,13401.86
125,11,131038,Media,Volcadura,7,0,Diesel,18802.83
126,4,161438,Grave,Colision,11,1,Gasolina,22589.07
127,5,31139,Leve,Choque_Multiple,1,0,Diesel,5586.18
128,16,53951,Media,Volcadura,5,1,Diesel,17723.66
129,3,142633,Leve,Choque_Multiple,1,0,Electrico,10638.71
130,18,164798,Grave,Colision,8,1,Hibrido,23519.34
131,18,61692,Media,Colision,6,0,Hibrido,13777.62
132,11,144094,Leve,Choque_Multiple,3,1,Hibrido,11399.33
133,15,81304,Leve,Colision,1,0,Gasolina,5698.04
134,8,178171,Media,Colision,2,0,Electrico,13695.05
135,5,62839,Media,Colision,1,0,Gasolina,8390.41
136,6,144388,Media,Choque_Multiple,7,0,Gasolina,14742.96
137,13,53923,Leve,Robo_Parcial,4,0,Electrico,9885.22
138,9,102065,Media,Choque_Multiple,7,1,Hibrido,17359.13
139,9,81513,Leve,Choque_Multiple,5,1,Gasolina,10681.44
140,15,175224,Leve,Colision,2,0,Hibrido,10466.69
141,4,61312,Media,Colision,4,0,Gasolina,9840.54
142,13,126511,Leve,Colision,1,0,Diesel,6367.47
143,2,68414,Media,Robo_Parcial,6,0,Gasolina,10012.59
144,17,47322,Leve,Robo_Parcial,2,0,Gasolina,6732.72
145,15,156763,Grave,Colision,10,1,Gasolina,21678.51
146,6,89300,Media,Volcadura,5,0,Gasolina,14972.86
147,18,36792,Media,Inundacion,5,1,Gasolina,15485.56
148,12,92417,Leve,Inundacion,1,0,Diesel,9309.18
149,4,105424,Grave,Robo_Parcial,13,1,Gasolina,23803.49
150,1,103125,Leve,Colision,1,0,Hibrido,6705.89
151,3,38599,Leve,Choque_Multiple,1,0,Gasolina,5079.44
152,3,95592,Leve,Colision,1,0,Gasolina,5990.73
153,0,95558,Media,Robo_Parcial,8,0,Gasolina,14513.65
154,18,131626,Leve,Volcadura,1,1,Gasolina,12480.55
155,5,89267,Media,Colision,7,1,Gasolina,12377.24
156,9,68878,Leve,Inundacion,1,0,Gasolina,8651.16
157,11,80772,Media,Colision,8,0,Gasolina,13565.39
158,12,57237,Grave,Choque_Multiple,13,1,Gasolina,23152.49
159,16,108441,Grave,Inundacion,6,1,Diesel,19660.81
160,8,89468,Media,Colision,7,0,Hibrido,15953.84
161,4,25536,Media,Colision,7,0,Diesel,10972.64
162,15,127967,Media,Choque_Multiple,5,1,Hibrido,15609.25
163,14,57352,Leve,Choque_Multiple,3,0,Diesel,7716.47
164,0,57706,Media,Inundacion,4,1,Gasolina,13535.17
165,11,75203,Leve,Robo_Parcial,2,0,Gasolina,8687.47
166,11,34645,Leve,Inundacion,2,0,Hibrido,8716.14
167,12,54083,Grave,Robo_Parcial,7,1,Diesel,18752.25
168,18,173148,Leve,Robo_Parcial,2,0,Hibrido,10075.09
169,16,96913,Leve,Robo_Parcial,5,0,Gasolina,9776.63
170,17,143994,Leve,Colision,1,0,Gasolina,6066.36
171,13,96836,Leve,Colision,1,1,Diesel,7357.3
172,1,97858,Grave,Robo_Parcial,8,1,Gasolina,20136.29
173,18,31651,Grave,Colision,7,1,Hibrido,15816.12
174,6,68117,Leve,Colision,2,0,Gasolina,5393.29
175,10,90643,Leve,Colision,6,0,Gasolina,8461.86
176,7,44113,Media,Robo_Parcial,6,0,Gasolina,9995.15
177,1,33740,Leve,Volcadura,1,1,Hibrido,8070.85
178,1,104028,Media,Colision,6,1,Hibrido,13491.15
179,12,50121,Media,Colision,8,0,Gasolina,11007.14
180,14,137225,Grave,Robo_Parcial,7,1,Diesel,22879.89
181,14,160584,Leve,Colision,4,1,Diesel,11642.47
182,6,175264,Leve,Colision,1,0,Gasolina,8279.95
183,4,36552,Leve,Colision,1,0,Gasolina,5167.82
184,17,63174,Leve,Colision,2,1,Gasolina,8130.39
185,4,40025,Leve,Choque_Multiple,2,0,Electrico,8066.03
186,6,42931,Leve,Robo_Parcial,1,0,Gasolina,2343.8
187,18,173398,Grave,Robo_Parcial,8,1,Gasolina,22474.81
188,1,155005,Leve,Colision,3,0,Gasolina,8524.55
189,10,123543,Leve,Colision,4,1,Gasolina,9251.57
190,3,62329,Leve,Colision,1,1,Gasolina,4500.59
191,6,99475,Leve,Volcadura,2,0,Gasolina,9585.17
192,0,71157,Grave,Inundacion,12,1,Gasolina,23683.1
193,3,113705,Grave,Colision,9,1,Diesel,21690.79
194,16,138696,Grave,Colision,12,1,Diesel,25199.86
195,6,164606,Leve,Colision,1,0,Gasolina,5282.52
196,18,74571,Grave,Colision,10,1,Diesel,21346.75
197,8,58150,Grave,Inundacion,10,1,Gasolina,22023.82
198,15,42006,Leve,Colision,5,0,Gasolina,6438.74
199,5,109364,Media,Robo_Parcial,1,0,Gasolina,9843.76
200,18,34595,Leve,Volcadura,1,0,Gasolina,9689.51
201,12,174781,Leve,Volcadura,2,0,Gasolina,13167.96
202,16,117163,Leve,Colision,1,0,Gasolina,6730.91
203,11,155427,Leve,Colision,3,0,Gasolina,9274.83
204,2,102206,Grave,Colision,7,1,Hibrido,17142.62
205,3,56087,Leve,Colision,3,0,Gasolina,6416.65
206,8,74975,Media,Inundacion,9,0,Hibrido,17521.03
207,0,103505,Leve,Colision,7,0,Diesel,9374.41
208,0,148733,Media,Inundacion,9,0,Diesel,17260.91
209,6,149371,Leve,Robo_Parcial,1,0,Gasolina,7214.57
210,2,107070,Grave,Colision,11,1,Gasolina,20057.35
211,17,32891,Leve,Robo_Parcial,5,1,Hibrido,12236.19
212,11,114082,Leve,Colision,3,0,Gasolina,5773.93
213,18,31092,Media,Colision,9,0,Gasolina,15494.81
214,18,127468,Grave,Colision,7,1,Gasolina,20457.18
215,3,111203,Media,Colision,6,1,Gasolina,12387.55
216,1,153087,Leve,Colision,4,0,Gasolina,7773.64
217,16,43344,Media,Colision,7,0,Gasolina,12051.43
218,3,58852,Media,Colision,10,0,Gasolina,14382.25
219,6,106200,Leve,Choque_Multiple,1,0,Gasolina,7702.57
220,16,145312,Leve,Colision,3,0,Hibrido,9939.32
221,16,111216,Grave,Volcadura,7,1,Diesel,24033.38
222,9,144618,Leve,Volcadura,3,0,Hibrido,12294.47
223,13,90309,Leve,Robo_Parcial,1,0,Diesel,7625.52
224,3,128167,Media,Colision,6,0,Gasolina,11734.8
225,2,81952,Grave,Colision,9,1,Gasolina,18055.26
226,3,157224,Media,Colision,4,0,Gasolina,11753.72
227,2,146085,Leve,Choque_Multiple,4,1,Gasolina,10003.41
228,4,110750,Media,Colision,5,0,Diesel,11616.28
229,14,61767,Media,Colision,7,0,Gasolina,14012.0
230,3,165156,Media,Colision,5,0,Gasolina,12178.0
231,5,81799,Media,Volcadura,4,1,Diesel,15260.08
232,16,51946,Leve,Colision,3,0,Diesel,7007.22
233,7,123210,Grave,Colision,9,1,Gasolina,19946.97
234,6,41560,Leve,Volcadura,3,0,Gasolina,7961.41
235,13,159348,Leve,Colision,1,0,Gasolina,7224.59
236,13,56668,Leve,Colision,2,0,Gasolina,6057.95
237,6,145265,Leve,Robo_Parcial,2,1,Hibrido,11489.67
238,13,104045,Media,Colision,8,0,Hibrido,14525.09
239,18,69946,Leve,Colision,1,0,Hibrido,8215.4
240,4,112044,Leve,Choque_Multiple,1,0,Gasolina,4625.88
241,0,178363,Leve,Colision,2,0,Gasolina,6224.16
242,0,57520,Leve,Choque_Multiple,3,1,Gasolina,6587.3
243,9,77956,Leve,Colision,6,0,Electrico,10923.33
244,10,60197,Leve,Robo_Parcial,3,0,Diesel,6242.84
245,9,31211,Leve,Choque_Multiple,2,1,Hibrido,9130.21
246,7,83312,Media,Colision,5,1,Hibrido,13713.31
247,2,75453,Leve,Inundacion,3,0,Gasolina,9154.47
248,6,86947,Media,Colision,4,0,Gasolina,10328.14
249,7,104456,Leve,Colision,2,0,Gasolina,5798.57
250,11,129397,Leve,Colision,1,0,Gasolina,7380.85
251,15,30193,Media,Colision,9,0,Gasolina,14110.2
252,17,71058,Leve,Colision,1,0,Gasolina,6179.87
253,4,148013,Leve,Inundacion,6,0,Gasolina,13133.75
254,12,134004,Grave,Inundacion,8,1,Diesel,24420.58
255,18,43673,Leve,Colision,4,0,Gasolina,6788.03
256,13,91914,Media,Choque_Multiple,4,0,Gasolina,13969.67
257,1,126012,Grave,Choque_Multiple,9,1,Hibrido,22393.45
258,0,63766,Leve,Colision,2,0,Electrico,5938.01
259,5,28234,Leve,Colision,2,0,Electrico,5269.06
260,2,160931,Grave,Volcadura,10,1,Diesel,26602.54
261,16,164775,Media,Colision,5,0,Diesel,14713.61
262,2,53645,Media,Choque_Multiple,5,0,Electrico,13696.38
263,12,105766,Leve,Colision,2,0,Gasolina,6912.66
264,13,100586,Media,Colision,4,0,Gasolina,12269.32
265,3,143138,Media,Colision,6,0,Gasolina,14234.11
266,13,140534,Media,Robo_Parcial,6,0,Gasolina,13643.75
267,8,41846,Leve,Robo_Parcial,1,1,Gasolina,6538.23
268,0,177684,Media,Colision,6,0,Gasolina,14899.74
269,8,152382,Media,Colision,4,0,Electrico,13946.52
270,7,119689,Media,Colision,7,0,Gasolina,13306.38
271,14,130331,Media,Volcadura,7,0,Gasolina,19180.82
272,7,121581,Media,Robo_Parcial,7,0,Gasolina,12919.42
273,10,29359,Media,Volcadura,8,0,Gasolina,15805.13
274,15,129900,Media,Choque_Multiple,3,0,Gasolina,15028.98
275,3,125888,Leve,Colision,4,0,Hibrido,9853.18
276,16,33321,Leve,Choque_Multiple,2,0,Hibrido,9773.04
277,5,141991,Grave,Colision,8,1,Gasolina,19316.17
278,2,52648,Leve,Choque_Multiple,5,0,Diesel,11006.25
279,7,92535,Media,Inundacion,4,0,Diesel,12566.29
280,15,48708,Media,Colision,6,0,Gasolina,12793.03
281,10,123830,Grave,Choque_Multiple,9,1,Diesel,20591.5
282,13,86175,Leve,Colision,3,0,Electrico,9134.67
283,3,175166,Leve,Volcadura,5,1,Gasolina,14433.02
284,17,74770,Grave,Inundacion,8,1,Diesel,23554.54
285,4,161249,Media,Robo_Parcial,6,0,Gasolina,13960.26
286,9,82384,Media,Colision,5,0,Hibrido,11514.78
287,1,108922,Leve,Inundacion,7,0,Gasolina,15240.66
288,6,154767,Leve,Inundacion,6,1,Diesel,15309.18
289,7,38779,Grave,Choque_Multiple,11,1,Gasolina,19674.02
290,5,30653,Media,Colision,3,0,Gasolina,5212.39
291,16,99197,Leve,Inundacion,2,1,Gasolina,9940.97
292,18,39188,Grave,Choque_Multiple,8,1,Gasolina,20175.56
293,15,101305,Grave,Colision,9,1,Diesel,19694.76
294,11,175911,Leve,Choque_Multiple,4,0,Diesel,10819.44
295,5,39766,Leve,Inundacion,3,0,Diesel,9451.28
296,18,138723,Grave,Robo_Parcial,9,1,Gasolina,22206.02
297,15,104348,Media,Inundacion,4,0,Diesel,14021.41
298,2,146549,Grave,Robo_Parcial,9,1,Gasolina,22514.89
299,3,55573,Leve,Colision,1,1,Gasolina,4166.48
300,18,150697,Leve,Choque_Multiple,3,0,Diesel,10336.81
301,13,103214,Media,Colision,9,0,Gasolina,15296.05
302,0,128231,Media,Robo_Parcial,6,0,Gasolina,11643.27
303,3,79385,Grave,Volcadura,10,1,Gasolina,24934.83
304,17,142239,Media,Colision,6,0,Gasolina,14130.42
305,1,47180,Grave,Colision,8,1,Gasolina,18160.84
306,0,90100,Leve,Inundacion,1,0,Gasolina,7997.95
307,18,153566,Media,Robo_Parcial,7,0,Gasolina,15378.54
308,3,36727,Leve,Colision,1,0,Gasolina,5977.23
309,6,119126,Leve,Choque_Multiple,1,0,Diesel,8704.85
310,5,129873,Media,Inundacion,4,1,Gasolina,12919.67
311,8,75496,Media,Robo_Parcial,4,0,Hibrido,10846.72
312,10,138672,Leve,Inundacion,3,0,Diesel,12573.61
313,13,42290,Leve,Colision,5,1,Diesel,7690.03
314,8,27585,Leve,Inundacion,3,0,Gasolina,11464.52
315,16,105360,Media,Choque_Multiple,7,0,Gasolina,15623.55
316,8,50969,Grave,Colision,11,1,Gasolina,19350.88
317,17,169617,Media,Volcadura,5,1,Gasolina,18824.83
318,4,58126,Leve,Robo_Parcial,2,0,Gasolina,8546.96
319,7,134640,Media,Colision,9,0,Gasolina,14402.15
320,13,161470,Grave,Volcadura,10,1,Hibrido,26228.57
321,9,131565,Media,Volcadura,5,0,Gasolina,16035.4
322,18,40050,Leve,Colision,5,1,Electrico,9615.08
323,16,60763,Media,Colision,9,0,Gasolina,13637.2
324,6,26911,Media,Choque_Multiple,5,0,Electrico,12098.86
325,16,36103,Media,Inundacion,4,0,Gasolina,11151.38
326,2,121220,Grave,Colision,11,1,Gasolina,20437.67
327,11,54683,Leve,Robo_Parcial,4,0,Gasolina,6014.15
328,15,101951,Leve,Colision,1,0,Hibrido,6485.31
329,16,34287,Grave,Volcadura,9,1,Gasolina,22675.77
330,14,111127,Leve,Colision,1,0,Gasolina,7941.41
331,13,153986,Leve,Robo_Parcial,4,0,Gasolina,9554.2
332,8,84269,Media,Colision,3,0,Gasolina,11390.32
333,14,140174,Leve,Colision,1,0,Gasolina,7572.22
334,6,99684,Leve,Colision,2,0,Gasolina,3909.07
335,15,94677,Leve,Colision,1,1,Diesel,7479.24
336,12,156559,Media,Choque_Multiple,6,0,Diesel,14985.09
337,4,65774,Leve,Colision,2,0,Gasolina,5037.49
338,0,138856,Media,Colision,7,0,Diesel,13682.49
339,5,90396,Leve,Colision,2,0,Gasolina,7691.73
340,15,52017,Media,Colision,8,0,Diesel,16170.97
341,7,56578,Leve,Colision,7,0,Gasolina,8502.14
342,2,38357,Leve,Robo_Parcial,1,0,Gasolina,1924.3
343,1,158657,Leve,Colision,4,0,Diesel,9437.31
344,7,108844,Grave,Colision,12,1,Gasolina,21560.01
345,9,148747,Leve,Robo_Parcial,1,0,Gasolina,8195.22
346,3,50398,Media,Robo_Parcial,6,0,Hibrido,11672.29
347,18,163638,Media,Colision,5,1,Gasolina,15828.25
348,3,35758,Media,Inundacion,5,0,Hibrido,13086.94
349,2,168282,Media,Colision,2,0,Gasolina,10662.59
350,4,75254,Leve,Choque_Multiple,5,0,Gasolina,8056.44
351,11,120947,Leve,Choque_Multiple,3,0,Electrico,10971.98
352,16,30734,Leve,Colision,4,0,Gasolina,6671.59
353,6,129200,Media,Robo_Parcial,5,0,Gasolina,12635.64
354,17,127300,Leve,Colision,3,0,Diesel,9305.22
355,16,144391,Media,Choque_Multiple,5,0,Gasolina,16755.33
356,3,69855,Leve,Robo_Parcial,2,0,Gasolina,7794.37
357,4,95892,Grave,Colision,14,1,Gasolina,21913.77
358,3,25366,Media,Robo_Parcial,7,0,Hibrido,12178.82
359,8,60025,Leve,Robo_Parcial,2,0,Hibrido,7697.53
360,7,98319,Leve,Inundacion,1,0,Diesel,8562.35
361,3,125134,Grave,Colision,7,1,Gasolina,17275.59
362,14,82839,Leve,Colision,1,0,Gasolina,4309.35
363,13,121636,Leve,Colision,1,0,Gasolina,6696.95
364,18,153586,Grave,Colision,9,1,Hibrido,23297.66
365,12,74243,Leve,Colision,3,0,Gasolina,9251.42
366,16,60990,Media,Choque_Multiple,4,1,Hibrido,13274.04
367,1,59649,Leve,Colision,4,1,Electrico,10099.38
368,3,167179,Media,Colision,5,0,Gasolina,11654.58
369,14,67767,Leve,Colision,3,0,Gasolina,8237.45
370,0,36672,Leve,Colision,1,1,Hibrido,5405.1
371,0,84421,Leve,Colision,2,0,Gasolina,4805.22
372,3,153927,Leve,Colision,6,0,Gasolina,11465.7
373,3,119501,Grave,Inundacion,11,1,Gasolina,23205.08
374,16,112777,Media,Robo_Parcial,7,0,Hibrido,16632.64
375,11,52242,Leve,Colision,2,0,Diesel,6562.4
376,0,63965,Media,Colision,7,0,Electrico,13815.54
377,2,54665,Media,Inundacion,5,0,Gasolina,13583.96
378,12,117434,Leve,Colision,2,0,Gasolina,6077.5
379,7,125449,Leve,Colision,1,0,Gasolina,5984.21
380,18,135583,Media,Choque_Multiple,6,1,Gasolina,15405.44
381,6,29496,Leve,Colision,3,0,Gasolina,5774.43
382,4,102253,Media,Volcadura,2,0,Gasolina,12560.01
383,7,39644,Media,Colision,5,0,Diesel,9606.02
384,13,122434,Leve,Colision,1,0,Gasolina,6069.29
385,4,120746,Leve,Colision,6,0,Diesel,9638.88
386,15,61729,Media,Choque_Multiple,5,0,Diesel,14086.43
387,0,100174,Leve,Colision,1,0,Gasolina,3985.32
388,12,136049,Media,Volcadura,2,0,Gasolina,14062.52
389,7,136062,Grave,Colision,10,1,Electrico,23138.27
390,6,129963,Media,Colision,7,0,Hibrido,15654.51
391,14,150151,Leve,Robo_Parcial,3,0,Diesel,9289.38
392,6,95757,Leve,Colision,1,1,Gasolina,5150.38
393,17,52909,Leve,Robo_Parcial,3,0,Diesel,7028.81
394,1,88002,Leve,Inundacion,1,0,Gasolina,7705.01
395,10,49434,Grave,Colision,8,1,Gasolina,18589.91
396,6,107437,Media,Choque_Multiple,8,1,Gasolina,15563.39
397,16,51477,Media,Choque_Multiple,9,0,Hibrido,16353.34
398,1,101053,Leve,Robo_Parcial,5,0,Gasolina,9485.73
399,6,61926,Media,Colision,8,0,Diesel,12242.34
400,10,142304,Media,Colision,3,0,Hibrido,13646.42
401,12,87681,Leve,Robo_Parcial,3,0,Gasolina,8326.16
402,0,62387,Media,Colision,8,0,Gasolina,10319.01
403,14,107239,Leve,Colision,5,0,Gasolina,9628.12
404,14,92618,Grave,Inundacion,9,1,Hibrido,22823.36
405,3,174090,Media,Colision,5,0,Diesel,13918.47
406,14,121136,Media,Robo_Parcial,5,0,Gasolina,13558.08
407,1,39957,Media,Colision,6,0,Gasolina,9933.82
408,5,174457,Leve,Colision,1,1,Gasolina,8879.59
409,17,146858,Leve,Colision,6,0,Gasolina,12544.45
410,12,111172,Leve,Colision,2,0,Gasolina,6541.98
411,14,35035,Media,Inundacion,6,0,Electrico,16594.61
412,12,41357,Grave,Colision,7,1,Gasolina,17749.51
413,0,135866,Leve,Robo_Parcial,3,0,Gasolina,8348.02
414,14,135027,Media,Robo_Parcial,5,1,Hibrido,17309.61
415,10,102831,Leve,Colision,1,0,Gasolina,6620.49
416,13,117980,Grave,Robo_Parcial,10,1,Hibrido,21470.19
417,6,45397,Media,Robo_Parcial,7,0,Diesel,13710.14
418,10,28718,Leve,Colision,5,1,Electrico,11339.81
419,13,93892,Media,Colision,2,1,Gasolina,11141.26
420,18,50544,Leve,Choque_Multiple,4,0,Gasolina,10721.88
421,6,116248,Leve,Colision,1,0,Gasolina,3510.52
422,9,105469,Media,Volcadura,5,0,Gasolina,14278.78
423,11,167204,Leve,Inundacion,1,0,Gasolina,12964.38
424,17,67639,Media,Colision,7,0,Gasolina,11208.96
425,3,47969,Media,Colision,4,0,Gasolina,7865.74
426,17,51136,Media,Colision,6,0,Gasolina,10051.71
427,14,169595,Leve,Colision,2,0,Hibrido,9458.84
428,13,128758,Leve,Colision,3,0,Gasolina,9009.06
429,13,88322,Leve,Inundacion,3,0,Hibrido,11484.8
430,16,108223,Leve,Inundacion,4,0,Gasolina,11824.04
431,12,38521,Media,Robo_Parcial,7,0,Gasolina,13590.26
432,10,160601,Leve,Colision,2,1,Gasolina,8279.47
433,12,93217,Grave,Colision,9,1,Gasolina,20098.0
434,0,65120,Leve,Choque_Multiple,3,0,Diesel,7469.43
435,4,143936,Media,Choque_Multiple,7,0,Gasolina,16410.58
436,7,124118,Media,Robo_Parcial,5,0,Diesel,15480.76
437,18,52110,Leve,Inundacion,3,0,Gasolina,10560.33
438,2,154563,Grave,Inundacion,9,1,Diesel,24299.55
439,13,44287,Media,Robo_Parcial,6,0,Diesel,13426.75
440,14,67232,Leve,Colision,4,0,Gasolina,8782.32
441,10,115907,Media,Robo_Parcial,4,0,Hibrido,12763.96
442,6,32747,Media,Colision,6,0,Hibrido,10434.24
443,0,110862,Leve,Colision,2,0,Gasolina,5504.77
